country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB","23-06-2026 16:00:00",19.87562,75.38731,PM10,18,65,37
India,Maharashtra,Aurangabad,"MIDC Chilkalthana, Aurangabad - MPCB","23-06-2026 16:00:00",19.87562,75.38731,SO2,4,9,7
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB","23-06-2026 16:00:00",19.16485,73.23409,NO2,10,30,18
India,Maharashtra,Badlapur,"Katrap, Badlapur - MPCB","23-06-2026 16:00:00",19.16485,73.23409,CO,26,33,29
India,Maharashtra,Belapur,"CBD Belapur, Belapur - MPCB","23-06-2026 16:00:00",19.0243902,73.0406721,NO2,16,51,25
India,"Madhya Pradesh",Indore,"Regional Park, Indore - IMC","23-06-2026 16:00:00",22.678,75.8559,OZONE,5,7,5
India,"Madhya Pradesh",Indore,"Maguda Nagar, Indore - IMC","23-06-2026 16:00:00",22.7524,75.8872,PM2.5,8,37,23
India,"Madhya Pradesh",Indore,"Maguda Nagar, Indore - IMC","23-06-2026 16:00:00",22.7524,75.8872,PM10,11,41,25
India,"Madhya Pradesh",Indore,"Maguda Nagar, Indore - IMC","23-06-2026 16:00:00",22.7524,75.8872,SO2,18,19,19
India,"Madhya Pradesh",Indore,"Residency Area, Indore - IMC","23-06-2026 16:00:00",22.7084,75.8815,NO2,3,10,6
India,"Madhya Pradesh",Indore,"Residency Area, Indore - IMC","23-06-2026 16:00:00",22.7084,75.8815,NH3,0,0,0
India,"Madhya Pradesh",Indore,"Residency Area, Indore - IMC","23-06-2026 16:00:00",22.7084,75.8815,SO2,3,3,3
India,"Madhya Pradesh",Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC","23-06-2026 16:00:00",23.163174,79.973061,PM2.5,17,30,24
India,"Madhya Pradesh",Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC","23-06-2026 16:00:00",23.163174,79.973061,CO,7,17,12
India,"Madhya Pradesh",Jabalpur,"Marhatal, Jabalpur - MPPCB","23-06-2026 16:00:00",23.168606,79.932247,CO,14,103,50
India,"Madhya Pradesh",Jabalpur,"Gupteshwar, Jabalpur - JMC","23-06-2026 16:00:00",23.142888,79.916147,PM10,29,163,78
